주차장코드,주차장명,주소2,주차장 종류명,"토요일 유,무료 구분명","공휴일 유,무료 구분명"
1010089,초안산근린공원주차장(구),서울특별시 도봉구 창동 24-0,노외 주차장,무료,무료
1012254,마들스타디움(근린공원)(구),서울특별시 노원구 상계동 770-2,노외 주차장,무료,무료
1013181,마장동(건물) 공영주차장(구),서울특별시 성동구 마장동 463-2,노외 주차장,무료,무료
1025695,영등포여고 공영(구),서울특별시 영등포구 신길동 184-3,노외 주차장,무료,무료
1025696,당산근린공원 공영(구),서울특별시 영등포구 당산동3가 385-0,노외 주차장,무료,무료
1025697,대림운동장(구),서울특별시 영등포구 대림동 780-0,노외 주차장,무료,무료
1027845,휘경마을 공영주차장(구),서울특별시 동대문구 휘경동 308-32,노외 주차장,무료,무료
1028036,중산공영주차장(구),서울특별시 동대문구 답십리동 23-3,노외 주차장,무료,무료
1028245,방학동 도깨비시장 공영주차장(구),서울특별시 도봉구 방학동 632-1,노외 주차장,무료,무료
1032247,은평평화공원(구),서울특별시 은평구 녹번동 153-1,노외 주차장,무료,무료
1033125,압구정 428 공영주차장(구),서울특별시 강남구 압구정동 428-0,노외 주차장,무료,무료
1033590,신림동공영주차장(구),서울특별시 관악구 신림동 1456-3,노외 주차장,무료,무료
1033754,포이초교 공영주차장(구),서울특별시 강남구 개포동 1273-0,노외 주차장,무료,무료
1034344,수유2동 공영주차장(구),서울특별시 강북구 수유동 660-30,노외 주차장,무료,무료
1034345,송중동(임시)공영주차장(구),서울특별시 강북구 미아동 860-123,노외 주차장,무료,무료
1037569,바람개비주차장(구),서울특별시 양천구 목동 919-8,노외 주차장,유료,유료
1037932,구로디지털단지역 공영주차장(시),서울특별시 구로구 구로동 810-3,노외 주차장,무료,무료
1040011,상계2동 공영주차장(구),서울특별시 노원구 상계동 373-13,노외 주차장,무료,무료
1040225,논현로22길(시),서울특별시 강남구 개포동 1266-0,노외 주차장,무료,무료
1041839,신당동 공영주차장(구),서울특별시 중구 신당동 300-6,노외 주차장,무료,무료
1041840,남산동 공영주차장(구),서울특별시 중구 남산동2가 30-4,노외 주차장,유료,유료
1041948,충현어린이공원 공영주차장(구),서울특별시 중구 신당동 432-524,노외 주차장,무료,무료
1041991,불암산 공영주차장(구),서울특별시 노원구 중계동 26-0,노외 주차장,유료,유료
1042402,역삼1문화센터 공영주차장(구),서울특별시 강남구 역삼동 829-20,노외 주차장,무료,무료
